link,name,company,position
https://ces.techhttps://www.ces.tech/conference/speaker-directory/876804,Samantha Cooper,Viacom Networks,"Executive Vice President of Partnerships, Distribution & Business Development"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/885639,Danielle Corbett,Federal Aviation Administration,Aviation Safety Inspector
https://ces.techhttps://www.ces.tech/conference/speaker-directory/889156,Michelle Fay Cortez,Bloomberg News,Health Care Reporter
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890079,Emma Cosgrove,Supply Chain Dive,Reporter
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890167,"Delos M. Cosgrove, M.D.",Cleveland Clinic,Executive Advisor and Former CEO and President
https://ces.techhttps://www.ces.tech/conference/speaker-directory/844568,Patrick Costello,Qualcomm,"Senior Director of Business Development, "
https://ces.techhttps://www.ces.tech/conference/speaker-directory/882237,Christopher Couch ,Cooper Standard Automotive,CTO & SVP
https://ces.techhttps://www.ces.tech/conference/speaker-directory/883801,Tom Coughlin,"Coughlin Associates, USA",President
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888411,Katie Couric,Katie Couric Media,Emmy-winning Journalist and Founder
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888768,Patrizia  Cozzoli,Fing Ltd,Deputy CEO
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888520,Dorothy Creamer,Hospitality Technology,Technology Editor
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890744,Terry Crews,"Star, Brooklyn Nine-Nine","Host, America’s Got Talent & America’s Got Talent: The Champions"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/877669,Daryl Cromer,Lenovo Research,"Vice President, Chief Product Security Officer"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/890177,Rod Cruz,AT&T Business,Healthcare Solutions General Manager
https://ces.techhttps://www.ces.tech/conference/speaker-directory/888670,Mark Cuban,,"Entrepreneur and Judge, Shark Tank"
https://ces.techhttps://www.ces.tech/conference/speaker-directory/889914,John Curbishley,Viacom,EVP Operations and New Business
